기준시간,원본시간,제목,미리보기
1일 전,7시간 전,"삼성전자·하이닉스, 엔비디아 GTC 기대감에 동반 강세[특징주]","한지영 키움증권 연구원은 “지난주부터 D램, 낸드 등 메모리 업황의 조기 해빙 기대감이 국내 반도체주들의 주가 반등으로 이어지고 있다”며 “마이크론 테크놀로지의 실적 및 컨퍼런스콜이 이 같은 주가 반등세에 정당성을 가져다 줄 수 있는지가 관건이 될 것”이라고 전망했다."
1일 전,7시간 전,"곽동신 한미반도체 회장, 30억원 자사주 취득 계획 발표",지분율 33.97%→34%…HBM TC 본더 1위 자신 한미반도체는 곽동신 대표이사 회장의 30억원 규모 자사주 취득 계획을 17일 공시했다. 곽 회장이 취득... 잇단 자사주 매입 결정은 고대역폭 메모리(HBM) 장비 시장에서 한미반도체의 TC 본더 기술력과 미래 성장 자신감을 드러내기 위한 것으로 풀이된다....
1일 전,7시간 전,"이재용 회장 ""삼성 다운 저력 잃어...사즉생 각오로 위기 대처해야""","지난해 삼성전자는 반도체 사업에서 범용(레거시) 메모리의 부진과 고대역폭 메모리(HBM) 납품 지연 등으로 기대에 못 미치는 실적을 기록했다. 이에 따라 삼성이 위기 극복을 위한 강도 높은 내부 결속을 다지는 것으로 보인다. 이번 세미나는 경기 용인 인력개발원 호암관에서 진행되며, 다음 달 말까지 이어질..."
1일 전,7시간 전,"이재용 회장 ""사즉생 각오로 위기 대처"" … '독한 삼성人' 주문",지난해 메모리 반도체 사업 부진과 고대역폭메모리(HBM) 등 AI(인공지능) 반도체 시장 진입에 뒤지면서 고전했던 반도체 사업이 당분간은 전세를 역전하기 어렵다는 전망에 힘이 실린다. TV와 스마트폰 등 주력 사업들의 시장점유율이 전반적으로 하락하고 있다는 점도 삼성이 뼈 아픈 대목이다. 지난해...
1일 전,7시간 전,관세에 민감국가까지…대내외 우려에도 코스피 0.9%대 상승,"같은 기간 국내 증시는 반도체 업황 개선 기대감과 상법 개정안 통과 등의 영향을 받아 상승 마감했다. 다만 바이든 행정부 시절 진행된 민감국가... 한국거래소 개장 전 진행되는 프리마켓에서는 철강 포장 및 부원료 사업을 영위하는 포스코엠텍, 용 인쇄회로기판 전문 기업 심텍 등이 전일..."
1일 전,7시간 전,"이재용 ""삼성다운 저력 잃었다…사즉생 각오 '독한 삼성인' 돼야""",삼성전자는 최근 인공지능(AI) 반도체 대응에 실기했다는 지적을 받으면서 고전을 거듭했다. 삼성전자의 지난해 반도체 부문 매출은 111조 1000억 원이지만 영업이익은 15조 1000억 원에 그쳤다. 게다가 지난해에는 TV와 스마트폰 등 삼성전자 주요 상품의 세계 점유율이 모두 하락했다. TV의 경우 지난해 세계...
1일 전,7시간 전,"경기도, '경기 지역특화 마이스(MICE) 육성 공모사업' 참여 기관 공모","이번 공모에는 로봇, 나노, 디스플레이, 신재생에너지, 반도체 등 경기도 전략·유망 산업이나 시군의 지역을 연계한 특화산업과 관련된 마이스 행사를 기획 중인 기업, 공공기관 등과 컨소시엄 형태를 구성한 경기도 31개 시군 혹은 행사 전문 민간기관 등이 참여할 수 있다. 도는 지원 단계를 △인큐베이팅..."
1일 전,7시간 전,"베트남, 美기업과 40억달러 규모 협약…트럼프發 관세대응 '본격화'","이날 지엔 장관은 ""양국간 협력 잠재력은 여전히 매우 큰 수준으로 특히, 과학기술과 혁신·연구개발(R&D)·칩산업·반도체·인공지능(AI)·사물인터넷(IoT)·신(新)에너지·금융·생명공학·헬스케어 등의 분야에서 더욱 그렇다""며 ""미국이 양국 기업간 협력을 확대하고, 특히 과학기술과 혁신 분야..."
1일 전,7시간 전,리튬포어스 주가 폭등랠리...지적재산권 활용한 콘텐츠 사업 박차,반도체 검사장비 개발 및 제조에서 콘텐츠 제품 및 휴대폰 액세서리 제조·판매로 사업 영역을 확장하며 다각화에 박차를 가하면서 주가에 훈풍을 불어 넣고 있는 것으로 보인다. 튬포어스는 2019년 위드모바일을 합병하고 더블유아이로 사명을 변경하며 사업 다각화를 본격화했다. 리튬포어스는 ...
1일 전,7시간 전,2월 ICT 수출 167억달러…대중 반도체 수출 급감에도 역대 두 번째 실적,반도체·디스플레이 부진 속 휴대전화·통신장비 호조 ▲ <이미지=DALL‧E 생성> 지난달 정보통신산업(ICT) 수출액이 167억1000만달러를 기록하며 2월 기준 역대 두 번째로 높은 실적을 올렸다. 16일 과학기술정보통신부에 따르면 2월 ICT 수출은 전년 동월 대비 1.2% 증가했다. (-3.0%)와 디스플레이...
